# --- Training Hyperparameters ---
# train_file: data/mT5_train_v4.jsonl
# valid_file: data/mT5_val_mini_v4.jsonl
# output_dir: output_v5
# model_name: google/mt5-base
# adapter_path: None
# save_total_limit: 100
# optim: adamw_torch
# epochs: 3
# train_batch_size: 8
# eval_batch_size: 8
# grad_accum_steps: 8
# eval_accum_steps: 1
# lr_scheduler_type: linear
# learning_rate: 0.0001
# warmup_ratio: 0.05
# weight_decay: 0.1
# label_smoothing_factor: 0.1
# max_grad_norm: 10.0
# max_source_length: 128
# max_target_length: 128
# eval_steps: 500
# save_steps: 500
# lora_r: 32
# lora_alpha: 32
# lora_dropout: 0.2
# target_modules: ['q', 'v', 'k', 'o', 'wi_0', 'wi_1', 'wo']
# focal_gamma: 2.0
# --------------------------------
8.8947,6806.4248,1e-06,0.001422159015154882,20
8.0996,3255.1182,2e-06,0.002844318030309764,40
8.8879,5285.6543,3e-06,0.004266477045464646,60
7.855,1791.6124,4e-06,0.005688636060619528,80
8.1726,1264.7924,5e-06,0.00711079507577441,100
8.6496,7574.2642,6e-06,0.008532954090929292,120
8.103,5994.6162,7e-06,0.009955113106084174,140
8.7223,2383.0789,8e-06,0.011377272121239056,160
8.0894,3809.4482,9e-06,0.012799431136393938,180
8.1308,1044.3762,9e-06,0.01422159015154882,200
8.638,2605.4905,1e-05,0.0156437491667037,220
7.9415,1594.5881,1.1e-05,0.017065908181858585,240
8.4278,6379.2085,1.2e-05,0.018488067197013465,260
7.6853,3694.2788,1.3e-05,0.01991022621216835,280
7.85,1579.5137,1.4e-05,0.02133238522732323,300
8.1633,3391.2405,1.5e-05,0.022754544242478112,320
7.426,4118.8931,1.6e-05,0.024176703257632996,340
7.809,1148.1979,1.7e-05,0.025598862272787876,360
7.2047,1947.3677,1.8e-05,0.02702102128794276,380
7.0661,821.2172,1.9e-05,0.02844318030309764,400
7.3379,2329.4458,2e-05,0.029865339318252523,420
6.3904,547.5157,2.1e-05,0.0312874983334074,440
6.9755,5297.9009,2.2e-05,0.032709657348562286,460
5.9591,1168.8883,2.3e-05,0.03413181636371717,480
5.6798,2386.6731,2.4e-05,0.03555397537887205,500
9.6522,4.9324,13.3793,54.6548,269.0835,3.716,0.465,0.03555397537887205,500
5.9385,1321.9618,2.5e-05,0.03697613439402693,520
4.8848,216.9554,2.6e-05,0.03839829340918181,540
5.4191,366.4637,2.7e-05,0.0398204524243367,560
4.5408,121.0394,2.7e-05,0.04124261143949158,580
4.2571,147.3314,2.8e-05,0.04266477045464646,600
4.8869,118.7992,2.9e-05,0.04408692946980134,620
3.9936,41.5614,3e-05,0.045509088484956224,640
4.5644,111.3093,3.1e-05,0.04693124750011111,660
3.8167,29.1661,3.2e-05,0.04835340651526599,680
3.5874,24.1696,3.3e-05,0.04977556553042087,700
4.481,30.0225,3.4e-05,0.05119772454557575,720
3.413,11.7335,3.5e-05,0.052619883560730635,740
4.0404,5.5409,3.6e-05,0.05404204257588552,760
3.2999,4.8906,3.7e-05,0.055464201591040395,780
3.0605,5.2106,3.8e-05,0.05688636060619528,800
3.4591,4.8264,3.9e-05,0.05830851962135016,820
2.8255,3.2342,4e-05,0.059730678636505045,840
3.1836,5.0392,4.1e-05,0.06115283765165993,860
2.7279,4.1822,4.2e-05,0.0625749966668148,880
2.6072,3.5605,4.3e-05,0.06399715568196969,900
2.9038,3.5727,4.4e-05,0.06541931469712457,920
2.5384,2.8482,4.5e-05,0.06684147371227946,940
2.7619,4.1649,4.5e-05,0.06826363272743434,960
2.4209,3.5226,4.6e-05,0.06968579174258922,980
2.2849,4.0219,4.7e-05,0.0711079507577441,1000
5.563,35.3553,14.7817,54.6548,110.2514,9.07,1.134,0.0711079507577441,1000
2.6102,4.2827,4.8e-05,0.07253010977289898,1020
2.262,4.9828,4.9e-05,0.07395226878805386,1040
2.5014,5.3077,5e-05,0.07537442780320874,1060
2.2264,3.3377,5.1e-05,0.07679658681836363,1080
2.2155,4.0581,5.2e-05,0.07821874583351851,1100
2.3745,3.782,5.3e-05,0.0796409048486734,1120
2.1279,3.4824,5.4e-05,0.08106306386382828,1140
2.2774,5.6998,5.5e-05,0.08248522287898316,1160
2.0384,5.6675,5.6e-05,0.08390738189413804,1180
2.0677,4.6877,5.7e-05,0.08532954090929291,1200
2.2374,4.0304,5.8e-05,0.0867516999244478,1220
1.9451,3.7765,5.9e-05,0.08817385893960268,1240
2.189,3.8549,6e-05,0.08959601795475756,1260
1.9254,3.6528,6.1e-05,0.09101817696991245,1280
1.9784,4.3149,6.2e-05,0.09244033598506733,1300
2.0817,3.4257,6.3e-05,0.09386249500022222,1320
1.83,4.5878,6.4e-05,0.0952846540153771,1340
2.0971,3.7335,6.4e-05,0.09670681303053198,1360
1.7661,6.389,6.5e-05,0.09812897204568685,1380
1.8476,4.1166,6.6e-05,0.09955113106084174,1400
1.933,3.3318,6.7e-05,0.10097329007599662,1420
1.7391,4.1097,6.8e-05,0.1023954490911515,1440
2.0124,5.3625,6.9e-05,0.10381760810630639,1460
1.6631,4.2293,7e-05,0.10523976712146127,1480
1.7987,4.4694,7.1e-05,0.10666192613661615,1500
4.7219,24.2746,36.7631,54.6548,473.0417,2.114,0.264,0.10666192613661615,1500
1.8647,7.821,7.2e-05,0.10808408515177104,1520
1.6695,4.1106,7.3e-05,0.10950624416692592,1540
1.8931,4.6612,7.4e-05,0.11092840318208079,1560
1.682,3.8498,7.5e-05,0.11235056219723567,1580
1.7621,4.8798,7.6e-05,0.11377272121239056,1600
1.7707,4.1119,7.7e-05,0.11519488022754544,1620
1.5916,5.4748,7.8e-05,0.11661703924270032,1640
1.7969,4.33,7.9e-05,0.11803919825785521,1660
1.5895,3.5122,8e-05,0.11946135727301009,1680
1.6728,5.7984,8.1e-05,0.12088351628816497,1700
1.7296,4.2543,8.2e-05,0.12230567530331986,1720
1.5379,3.7397,8.2e-05,0.12372783431847473,1740
1.8361,4.4394,8.3e-05,0.1251499933336296,1760
1.5091,3.7117,8.4e-05,0.1265721523487845,1780
1.6326,5.9433,8.5e-05,0.12799431136393938,1800
1.6798,3.6966,8.6e-05,0.12941647037909426,1820
1.5159,4.152,8.7e-05,0.13083862939424915,1840
1.7057,4.6972,8.8e-05,0.13226078840940403,1860
1.4915,3.996,8.9e-05,0.1336829474245589,1880
1.6039,6.4911,9e-05,0.1351051064397138,1900
1.644,18.485,9.1e-05,0.13652726545486868,1920
1.49,4.5425,9.2e-05,0.13794942447002356,1940
1.6808,4.5956,9.3e-05,0.13937158348517845,1960
1.4577,4.0763,9.4e-05,0.14079374250033333,1980
1.5689,5.252,9.5e-05,0.1422159015154882,2000
4.4144,60.4275,38.2366,54.6548,559.2336,1.788,0.224,0.1422159015154882,2000
1.5786,4.4733,9.6e-05,0.14363806053064307,2020
1.4325,4.7388,9.7e-05,0.14506021954579795,2040
1.6264,4.168,9.8e-05,0.14648237856095284,2060
1.3777,3.6536,9.9e-05,0.14790453757610772,2080
1.5098,4.9484,0.0001,0.1493266965912626,2100
1.4879,4.2304,0.0001,0.1507488556064175,2120
1.4032,9.6798,0.0001,0.15217101462157237,2140
1.6318,5.5552,0.0001,0.15359317363672725,2160
1.4224,4.2318,0.0001,0.15501533265188214,2180
1.5243,5.6181,0.0001,0.15643749166703702,2200
1.5012,3.8526,0.0001,0.1578596506821919,2220
1.3683,3.8509,0.0001,0.1592818096973468,2240
1.5791,4.248,0.0001,0.16070396871250167,2260
1.3085,4.6569,0.0001,0.16212612772765655,2280
1.4563,5.5296,0.0001,0.16354828674281144,2300
1.4763,4.3661,9.9e-05,0.16497044575796632,2320
1.2996,4.8725,9.9e-05,0.1663926047731212,2340
1.5874,4.8749,9.9e-05,0.1678147637882761,2360
1.3208,4.3215,9.9e-05,0.16923692280343097,2380
1.4453,4.4077,9.9e-05,0.17065908181858583,2400
1.4459,4.9986,9.9e-05,0.1720812408337407,2420
1.3255,4.1156,9.9e-05,0.1735033998488956,2440
1.4977,5.0069,9.9e-05,0.17492555886405048,2460
1.3179,4.1074,9.9e-05,0.17634771787920536,2480
1.4165,5.2903,9.9e-05,0.17776987689436025,2500
4.22,12.5493,47.2242,91.0913,293.2226,3.41,0.426,0.17776987689436025,2500
1.4131,4.0621,9.9e-05,0.17919203590951513,2520
1.264,4.0491,9.9e-05,0.18061419492467,2540
1.4629,4.1614,9.9e-05,0.1820363539398249,2560
1.2252,3.9963,9.9e-05,0.18345851295497978,2580
1.411,7.4585,9.9e-05,0.18488067197013466,2600
1.4085,5.1053,9.9e-05,0.18630283098528955,2620
1.2558,4.5586,9.9e-05,0.18772499000044443,2640
1.448,4.0129,9.9e-05,0.18914714901559931,2660
1.2382,3.9869,9.9e-05,0.1905693080307542,2680
1.3495,5.6365,9.9e-05,0.19199146704590908,2700
1.3576,4.3049,9.8e-05,0.19341362606106396,2720
1.2784,4.3365,9.8e-05,0.19483578507621885,2740
1.5155,4.1409,9.8e-05,0.1962579440913737,2760
1.252,3.7687,9.8e-05,0.1976801031065286,2780
1.3549,5.3205,9.8e-05,0.19910226212168347,2800
1.3702,3.9187,9.8e-05,0.20052442113683835,2820
1.2064,3.6969,9.8e-05,0.20194658015199324,2840
1.455,4.5656,9.8e-05,0.20336873916714812,2860
1.1908,4.0836,9.8e-05,0.204790898182303,2880
1.3321,5.7216,9.8e-05,0.2062130571974579,2900
1.3567,4.5874,9.8e-05,0.20763521621261277,2920
1.2417,4.4013,9.8e-05,0.20905737522776766,2940
1.3859,4.32,9.8e-05,0.21047953424292254,2960
1.1899,5.7853,9.8e-05,0.21190169325807742,2980
1.2345,5.404,9.8e-05,0.2133238522732323,3000
4.0998,7.1294,36.2303,91.0913,343.7994,2.909,0.364,0.2133238522732323,3000
