lemma_kek,gloss_kek,gloss_en,gloss_en_past,gloss_en_pp,gloss_es,gloss_es_past_3sg,gloss_es_pp,gloss_es_gerund,category,transitivity,agent_class_any_of,agent_class_none_of,theme_class_any_of,theme_class_none_of,goal_class_any_of,goal_none_of,notes,p_weight,p_debug_percent
sach,sachk,get lost,got lost,gotten lost,pederse,me pierdo,,,v_involuntary,intr,human;kinship;occupation,,,,,,,3920.426655270152,1.5841175919792145
k'e,k'ehok,give,gave,given,dar,dio,dado,,v_commerce|v_social,ditr,human;kinship;occupation,emotion,animal_domesticated;artifact;beverage;food;fruit;plant;tool;vegetable;vehicle,,human;kinship;animal_domesticated,,,6407.176188675538,2.5889326361321374
xik,xik,go,went,gone,ir,fue,ido,yendo,v_motion|v_action,intr,human;kinship;animal_domestic;animal_wild,emotion,,,,,,5843.414133735181,2.361134626514781
k’ampaq,k’ampaqonk,gossip,,,chismear,,,,v_communicative|v_social,intr,human;kinship;occupation,emotion,,,,,,386.0705432153811,0.1559986177602176
tz'aqob',tz'aqob'resink,graduate,,,graduarse,graduó,graduado,,v_learning|v_state,intr,human;kinship,emotion,,,,,,1000.0,0.4040676516291196
sab'esi,sab'esink,groom,,,acicalar,,,,v_action|v_hygiene,tr,human;kinship,,,,,,,263.02679918953817,0.10628062106404071
yoob',yoob'ank,hallucinate,,,alucinar,,,,v_cognition|v_health,intr,human;kinship,emotion,,,,,,64.07176188675537,0.025889326361321373
aanil,aanilak,hasten,,,apurarse,,,,v_action|v_motion|v_volitional,intr,human;kinship,emotion,,,,,,89.81178609606945,0.0362900374964556
ab'i,ab'ink,hear,heard,heard,oír,oyó,oído,oyendo,v_perceptive,tr,human;kinship;animal_domesticated;animal_wild;occupation,emotion,animal_domesticated;animal_wild;human;kinship,,,,,3066.6673307131837,1.2391410666490168
b'uj,b'ujuk,hit,hit,hit,golpear,,,,v_action|v_conflict,tr,human;kinship,emotion,human;kinship;animal_domesticated;animal_wild,,,,,3801.8939632056126,1.5362223654554183
q'un,q’unuk,hold,held,held,sostener,sostuvo,sostenido,,v_action|v_state,tr,human;kinship,emotion,artifact;tool,,,,,2884.0315031266086,1.1653438366927686
kuute’,kuute’ek,howl,,,aullar,,,,v_communicative|v_expression|v_emotive,intr,human;kinship;animal_wild;animal_domesticated,emotion,,,,,,131.82567385564073,0.05326649045927497
ketzo,ketzonk,hug,,,abrazar,abrazó,abrazado,abrazando,v_action|v_social|v_emotive,tr,human;kinship,emotion,human;kinship,,,,,532.9257028812003,0.21533803725600456
yo,yohok,hunt,,,cazar,,,,v_work|v_social|v_action,tr,human;kinship;animal_domesticated;animal_wild,emotion,animal_wild,,,,,984.7666521101588,0.3979123485208221
raho',raho'k,hurt,hurt,hurt,doler,duele,,,v_health|v_involuntary|v_state,intr,body_part,,,,,,,1964.867789993468,0.7939395136643588
wotz’,wotz’ok,itch,,,picar,,,,v_health|v_involuntary|v_state,intr,human;kinship,emotion,body_part,,,,,196.4867789993468,0.07939395136643587
ch'uch'ib'k,ch'uch'ib'k,joke,,,bromear,,,,v_social|v_communicative,intr,human;kinship;occupation,,,,,,,1318.2567385564062,0.5326649045927494
b’ir ib’,b’irok ib’k,judge,,,juzgar,,,,v_cognition|v_social|v_communicative,tr,human;kinship,emotion,human;kinship,,,,,1995.262314968881,0.8062209579935565
to',to'nink,lend,lent,lent,prestar,,,,v_commerce|v_social,ditr,human;kinship,emotion,animal_domesticated;animal_wild;artifact;tool,,human;kinship,,,575.4399373371566,0.23251666413343258
